,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
373,kyshtym,55.71,60.55,0.01,92,18,4.05,RU,1602980699
374,buala,-8.14,159.59,30.77,64,74,2.22,SB,1602980701
375,bani,18.28,-70.33,28.33,83,93,0.89,DO,1602980702
376,sandviken,60.62,16.77,2.78,60,50,2.24,SE,1602980703
377,ancud,-41.87,-73.82,10.0,87,90,5.7,CL,1602980705
378,port augusta,-32.5,137.77,15.0,54,90,5.7,AU,1602980706
379,logan,41.74,-111.83,19.44,25,1,2.6,US,1602980560
380,frutal,-20.02,-48.94,24.99,66,53,1.91,BR,1602980619
381,severo-kurilsk,50.68,156.12,8.29,63,38,5.77,RU,1602980710
382,gerash,27.67,54.14,12.0,37,0,0.58,IR,1602980711
